,Date,Pitcher,IP,Hits,ER,Walks,Strike Outs,W,L,Saves,Holds,Points
256,MAY 5,Jhoan Duran,1.0,0,0,1,2,0,0,1,0,9.0
260,MAY 6,Spencer Strider,5.0,4,2,0,10,0,0,0,0,17.0
261,MAY 6,Emmanuel Clase,1.0,0,0,0,1,0,0,1,0,9.0
265,MAY 6,MacKenzie Gore,6.0,8,2,1,9,0,0,0,0,14.0
266,MAY 7,Sandy Alcantara,8.1,9,2,0,9,0,0,0,0,21.0
268,MAY 7,Emmanuel Clase,1.0,0,0,1,1,0,0,1,0,8.0
269,MAY 7,Joe Musgrove,5.0,2,0,3,5,0,0,0,0,15.0
271,MAY 7,Mason Miller,6.0,5,2,1,5,0,1,0,0,11.0
279,MAY 8,Tanner Bibee,3.2,7,4,4,2,0,1,0,0,-8.0
282,MAY 9,Emmanuel Clase,1.0,1,0,0,0,0,0,1,0,7.0
284,MAY 9,Zach Eflin,6.0,7,4,1,4,0,1,0,0,4.0
291,MAY 10,Jhoan Duran,2.0,0,0,0,1,0,0,0,0,7.0
302,MAY 12,Spencer Strider,6.2,5,1,1,12,0,1,0,0,22.0
303,MAY 12,Emmanuel Clase,1.0,2,1,0,1,0,1,0,0,-2.0
306,MAY 12,MacKenzie Gore,4.0,5,0,2,3,0,0,0,0,8.0
307,MAY 12,Carlos Estevez,1.0,2,0,1,1,0,0,1,0,6.0
308,MAY 13,Sandy Alcantara,7.2,7,6,2,9,0,1,0,0,9.0
311,MAY 13,Joe Musgrove,5.2,8,4,4,5,0,1,0,0,0.0
316,MAY 14,Emmanuel Clase,1.0,3,2,0,1,0,0,1,0,2.0
319,MAY 14,Zach Eflin,6.0,7,4,1,9,1,0,0,0,13.0
321,MAY 14,Carlos Estevez,0.1,2,1,0,0,0,0,0,0,-3.0
325,MAY 15,Jhoan Duran,2.0,1,0,0,2,0,0,0,0,7.0
335,MAY 16,Jesus Luzardo,6.0,5,1,1,7,0,0,0,0,17.0
336,MAY 17,Spencer Strider,5.0,6,4,3,7,0,0,0,0,5.0
340,MAY 17,MacKenzie Gore,5.1,5,4,2,7,0,1,0,0,6.0
342,MAY 17,J.P. France,3.2,9,6,2,2,0,0,0,0,-10.0
344,MAY 18,Emmanuel Clase,1.0,1,0,0,1,0,0,1,0,8.0
348,MAY 18,Carlos Estevez,1.0,2,0,1,2,0,0,1,0,7.0
349,MAY 18,Dylan Floro,1.0,0,0,1,0,0,0,1,0,7.0
350,MAY 19,Sandy Alcantara,5.2,5,4,3,5,0,1,0,0,4.0
352,MAY 19,Emmanuel Clase,0.2,4,2,0,1,0,1,0,0,-7.0
355,MAY 19,Carlos Estevez,1.0,0,0,0,2,0,0,1,0,10.0
359,MAY 20,Joe Musgrove,5.0,6,4,1,6,0,1,0,0,4.0
360,MAY 20,Jhoan Duran,1.0,1,0,0,3,0,0,0,0,5.0
361,MAY 20,Zach Eflin,7.0,4,3,0,8,1,0,0,0,21.0
363,MAY 20,Dylan Floro,1.1,0,0,0,2,0,0,1,0,11.0
368,MAY 21,Carlos Estevez,1.0,1,0,0,1,0,0,1,0,8.0
369,MAY 21,Jesus Luzardo,5.0,6,6,1,8,0,1,0,0,2.0
372,MAY 22,Emmanuel Clase,1.0,0,0,0,1,0,0,1,0,9.0
378,MAY 23,Spencer Strider,6.0,5,2,3,11,0,1,0,0,15.0
381,MAY 23,MacKenzie Gore,4.2,7,3,4,5,0,0,0,0,2.0
384,MAY 23,Alex Cobb,7.0,6,3,1,8,1,0,0,0,18.0
387,MAY 24,Jhoan Duran,0.2,1,0,0,2,0,0,0,0,3.0
